Sender: LSF System <lsfadmin@e1014>
Subject: Job 7894025: <matlab -nodisplay -nojvm -singleCompThread -r CollabFilteringEvaluation> in cluster <euler> Done

Job <matlab -nodisplay -nojvm -singleCompThread -r CollabFilteringEvaluation> was submitted from host <euler04> by user <dojan> in cluster <euler>.
Job was executed on host(s) <e1014>, in queue <normal.4h>, as user <dojan> in cluster <euler>.
</cluster/home/dojan> was used as the home directory.
</cluster/home/dojan/cil/cil_2015_nstd_git/project/src> was used as the working directory.
Started at Wed Jun 10 11:41:36 2015
Results reported on Wed Jun 10 13:32:49 2015

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
matlab -nodisplay -nojvm -singleCompThread -r CollabFilteringEvaluation
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :               8484.95 sec.
    Max Memory :             695 MB
    Average Memory :         590.01 MB
    Total Requested Memory : 1024.00 MB
    Delta Memory :           329.00 MB
    (Delta: the difference between Total Requested Memory and Max Memory.)
    Max Swap :               2 MB
    Max Processes :          3
    Max Threads :            9

The output (if any) follows:


                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013b (8.2.0.701) 64-bit (glnxa64)
                              August 13, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
CompBias: l1 = 01, l2 = 21, RMSE: 0.995978
CompBias: l1 = 01, l2 = 22, RMSE: 0.996040
CompBias: l1 = 01, l2 = 23, RMSE: 0.996106
CompBias: l1 = 01, l2 = 24, RMSE: 0.996175
CompBias: l1 = 01, l2 = 25, RMSE: 0.996248
CompBias: l1 = 01, l2 = 26, RMSE: 0.996324
CompBias: l1 = 01, l2 = 27, RMSE: 0.996402
CompBias: l1 = 01, l2 = 28, RMSE: 0.996483
CompBias: l1 = 01, l2 = 29, RMSE: 0.996567
CompBias: l1 = 01, l2 = 30, RMSE: 0.996652
CompBias: l1 = 01, l2 = 31, RMSE: 0.996739
CompBias: l1 = 01, l2 = 32, RMSE: 0.996828
CompBias: l1 = 01, l2 = 33, RMSE: 0.996919
CompBias: l1 = 01, l2 = 34, RMSE: 0.997011
CompBias: l1 = 01, l2 = 35, RMSE: 0.997104
CompBias: l1 = 01, l2 = 36, RMSE: 0.997199
CompBias: l1 = 01, l2 = 37, RMSE: 0.997294
CompBias: l1 = 01, l2 = 38, RMSE: 0.997391
CompBias: l1 = 01, l2 = 39, RMSE: 0.997488
CompBias: l1 = 01, l2 = 40, RMSE: 0.997586
CompBias: l1 = 01, l2 = 41, RMSE: 0.997684
CompBias: l1 = 01, l2 = 42, RMSE: 0.997783
CompBias: l1 = 01, l2 = 43, RMSE: 0.997883
CompBias: l1 = 01, l2 = 44, RMSE: 0.997983
CompBias: l1 = 01, l2 = 45, RMSE: 0.998083
CompBias: l1 = 01, l2 = 46, RMSE: 0.998184
CompBias: l1 = 01, l2 = 47, RMSE: 0.998285
CompBias: l1 = 01, l2 = 48, RMSE: 0.998386
CompBias: l1 = 01, l2 = 49, RMSE: 0.998487
CompBias: l1 = 01, l2 = 50, RMSE: 0.998588
CompBias: l1 = 01, l2 = 51, RMSE: 0.998690
CompBias: l1 = 01, l2 = 52, RMSE: 0.998791
CompBias: l1 = 01, l2 = 53, RMSE: 0.998893
CompBias: l1 = 01, l2 = 54, RMSE: 0.998994
CompBias: l1 = 01, l2 = 55, RMSE: 0.999095
CompBias: l1 = 01, l2 = 56, RMSE: 0.999196
CompBias: l1 = 01, l2 = 57, RMSE: 0.999297
CompBias: l1 = 01, l2 = 58, RMSE: 0.999398
CompBias: l1 = 01, l2 = 59, RMSE: 0.999499
CompBias: l1 = 01, l2 = 60, RMSE: 0.999599
CompBias: l1 = 01, l2 = 61, RMSE: 0.999699
CompBias: l1 = 01, l2 = 62, RMSE: 0.999799
CompBias: l1 = 01, l2 = 63, RMSE: 0.999899
CompBias: l1 = 01, l2 = 64, RMSE: 0.999999
CompBias: l1 = 01, l2 = 65, RMSE: 1.000098
CompBias: l1 = 01, l2 = 66, RMSE: 1.000197
CompBias: l1 = 01, l2 = 67, RMSE: 1.000295
CompBias: l1 = 01, l2 = 68, RMSE: 1.000393
CompBias: l1 = 01, l2 = 69, RMSE: 1.000491
CompBias: l1 = 01, l2 = 70, RMSE: 1.000589
CompBias: l1 = 01, l2 = 71, RMSE: 1.000686
CompBias: l1 = 01, l2 = 72, RMSE: 1.000783
CompBias: l1 = 01, l2 = 73, RMSE: 1.000879
CompBias: l1 = 01, l2 = 74, RMSE: 1.000975
CompBias: l1 = 01, l2 = 75, RMSE: 1.001071
CompBias: l1 = 01, l2 = 76, RMSE: 1.001166
CompBias: l1 = 01, l2 = 77, RMSE: 1.001261
CompBias: l1 = 01, l2 = 78, RMSE: 1.001355
CompBias: l1 = 01, l2 = 79, RMSE: 1.001450
CompBias: l1 = 01, l2 = 80, RMSE: 1.001543
CompBias: l1 = 01, l2 = 81, RMSE: 1.001636
CompBias: l1 = 01, l2 = 82, RMSE: 1.001729
CompBias: l1 = 01, l2 = 83, RMSE: 1.001822
CompBias: l1 = 01, l2 = 84, RMSE: 1.001913
CompBias: l1 = 01, l2 = 85, RMSE: 1.002005
CompBias: l1 = 01, l2 = 86, RMSE: 1.002096
CompBias: l1 = 01, l2 = 87, RMSE: 1.002187
CompBias: l1 = 01, l2 = 88, RMSE: 1.002277
CompBias: l1 = 01, l2 = 89, RMSE: 1.002367
CompBias: l1 = 01, l2 = 90, RMSE: 1.002456
CompBias: l1 = 01, l2 = 91, RMSE: 1.002545
CompBias: l1 = 01, l2 = 92, RMSE: 1.002633
