K,Lambda,Gamma,Shrink,Epoch,Mean_RMSE,Std_RMSE
64,0.001000,0.002000,0.750000,9,0.995354,0.001063
64,0.001000,0.002000,0.775000,5,0.993652,0.002492
64,0.001000,0.002000,0.775000,9,0.994519,0.002991
64,0.001000,0.002000,0.775000,10,0.993064,0.001880
64,0.001000,0.002000,0.775000,11,0.993990,0.001628
64,0.001000,0.002000,0.800000,5,0.993651,0.002492
64,0.001000,0.002000,0.800000,10,0.993642,0.002493
64,0.001000,0.002000,0.800000,12,0.993865,0.002707
64,0.001000,0.002000,0.800000,13,0.993328,0.002819
64,0.001000,0.002000,0.800000,14,0.993546,0.000737
64,0.001000,0.002000,0.825000,5,0.993651,0.002490
64,0.001000,0.002000,0.825000,10,0.993639,0.002490
64,0.001000,0.002000,0.825000,14,0.994595,0.002663
64,0.001000,0.002000,0.825000,15,0.993391,0.002385
64,0.001000,0.002000,0.825000,16,0.992805,0.000000
64,0.001000,0.002000,0.825000,17,0.993879,0.002857
64,0.001000,0.002000,0.825000,18,0.993311,0.000000
64,0.001000,0.002000,0.850000,5,0.993652,0.002491
64,0.001000,0.002000,0.850000,10,0.993633,0.002492
64,0.001000,0.002000,0.850000,15,0.993617,0.002492
64,0.001000,0.002000,0.850000,20,0.993607,0.002492
64,0.001000,0.002000,0.850000,22,0.992449,0.000855
64,0.001000,0.002000,0.850000,23,0.995372,0.002886
64,0.001000,0.002000,0.850000,24,0.992416,0.001278
64,0.001000,0.002000,0.875000,5,0.993649,0.002490
64,0.001000,0.002000,0.875000,10,0.993620,0.002490
64,0.001000,0.002000,0.875000,15,0.993586,0.002489
64,0.001000,0.002000,0.875000,20,0.993558,0.002489
64,0.001000,0.002000,0.875000,25,0.993540,0.002489
64,0.001000,0.002000,0.875000,30,0.993530,0.002489
64,0.001000,0.002000,0.875000,32,0.997178,0.000000
64,0.001000,0.002000,0.875000,33,0.992123,0.000598
64,0.001000,0.002000,0.875000,34,0.991259,0.000563
64,0.001000,0.002000,0.875000,35,0.994264,0.002462
64,0.001000,0.002000,0.875000,36,0.994532,0.001289
64,0.001000,0.002000,0.900000,5,0.993648,0.002493
64,0.001000,0.002000,0.900000,10,0.993605,0.002498
64,0.001000,0.002000,0.900000,15,0.993534,0.002507
64,0.001000,0.002000,0.900000,20,0.993453,0.002517
64,0.001000,0.002000,0.900000,25,0.993382,0.002525
