Method; RMSE (test); RMSE (judge)
nils = biased mean, SVD K = 28; 0.987318; -
nils = biased mean, SVD K = 29; 0.987374; -
nils = biased mean, SVD K = 30; 0.987586; -
nils = biased mean, SVD K = 31; 0.987774; -
nils = biased mean, SVD K = 32; 0.987927; -
nils = biased mean, SVD K = 33; 0.988258; -
nils = biased mean, SVD K = 34; 0.988439; -
nils = biased mean, SVD K = 35; 0.988688; -
nils = biased mean, SVD K = 36; 0.988804; -
nils = biased mean, SVD K = 37; 0.988921; -
nils = biased mean, SVD K = 38; 0.989085; -
nils = biased mean, SVD K = 39; 0.989200; -
nils = biased mean, SVD K = 40; 0.989385; -
nils = biased mean, SVD K = 41; 0.989507; -
nils = biased mean, SVD K = 42; 0.989585; -
nils = biased mean, SVD K = 43; 0.989671; -
nils = biased mean, SVD K = 44; 0.989765; -
nils = biased mean, SVD K = 45; 0.989853; -
nils = biased mean, SVD K = 46; 0.990021; -
nils = biased mean, SVD K = 47; 0.990133; -
nils = biased mean, SVD K = 48; 0.990244; -
nils = biased mean, SVD K = 49; 0.990343; -
nils = biased mean, SVD K = 50; 0.990416; -
nils = biased mean, SVD K = 51; 0.990507; -
nils = biased mean, SVD K = 52; 0.990644; -
nils = biased mean, SVD K = 53; 0.990780; -
nils = biased mean, SVD K = 54; 0.990890; -
nils = biased mean, SVD K = 55; 0.991016; -
nils = biased mean, SVD K = 56; 0.991098; -
nils = biased mean, SVD K = 57; 0.991284; -
nils = biased mean, SVD K = 58; 0.991399; -
nils = biased mean, SVD K = 59; 0.991526; -
nils = biased mean, SVD K = 60; 0.991683; -
nils = biased mean, SVD K = 61; 0.991708; -
nils = biased mean, SVD K = 62; 0.991781; -
nils = biased mean, SVD K = 63; 0.991859; -
nils = biased mean, SVD K = 64; 0.991967; -
nils = biased mean, SVD K = 65; 0.992106; -
nils = biased mean, SVD K = 66; 0.992084; -
nils = biased mean, SVD K = 67; 0.992177; -
nils = biased mean, SVD K = 68; 0.992197; -
nils = biased mean, SVD K = 69; 0.992267; -
nils = biased mean, SVD K = 70; 0.992372; -
nils = biased mean, SVD K = 71; 0.992473; -
nils = biased mean, SVD K = 72; 0.992534; -
nils = biased mean, SVD K = 73; 0.992571; -
nils = biased mean, SVD K = 74; 0.992562; -
nils = biased mean, SVD K = 75; 0.992666; -
nils = biased mean, SVD K = 76; 0.992718; -
nils = biased mean, SVD K = 77; 0.992751; -
nils = biased mean, SVD K = 78; 0.992756; -
nils = biased mean, SVD K = 79; 0.992840; -
nils = biased mean, SVD K = 80; 0.992943; -
nils = biased mean, SVD K = 81; 0.993028; -
nils = biased mean, SVD K = 82; 0.993082; -
nils = biased mean, SVD K = 83; 0.993163; -
nils = biased mean, SVD K = 84; 0.993248; -
nils = biased mean, SVD K = 85; 0.993307; -
nils = biased mean, SVD K = 86; 0.993303; -
nils = biased mean, SVD K = 87; 0.993301; -
nils = biased mean, SVD K = 88; 0.993440; -
nils = biased mean, SVD K = 89; 0.993474; -
nils = biased mean, SVD K = 90; 0.993482; -
nils = biased mean, SVD K = 91; 0.993585; -
nils = biased mean, SVD K = 92; 0.993686; -
nils = biased mean, SVD K = 93; 0.993735; -
nils = biased mean, SVD K = 94; 0.993766; -
nils = biased mean, SVD K = 95; 0.993806; -
nils = biased mean, SVD K = 96; 0.993862; -
nils = biased mean, SVD K = 97; 0.993926; -
nils = biased mean, SVD K = 98; 0.993986; -
nils = biased mean, SVD K = 99; 0.993986; -
nils = biased mean, SVD K = 100; 0.994078; -
k = 1; err = 0.992096
k = 2; err = 0.990420
k = 3; err = 0.988112
k = 4; err = 0.986706
k = 5; err = 0.985865
k = 6; err = 0.985542
k = 7; err = 0.985585
k = 8; err = 0.985771
k = 9; err = 0.985833
k = 10; err = 0.986038
k = 11; err = 0.985867
k = 12; err = 0.985936
k = 13; err = 0.985950
k = 14; err = 0.986071
k = 15; err = 0.986268
k = 16; err = 0.986455
k = 17; err = 0.986640
k = 18; err = 0.986590
k = 19; err = 0.986875
k = 20; err = 0.987160
lambda: 0.000000
k = 1; err = 0.991850
k = 2; err = 0.990368
k = 3; err = 0.988135
k = 4; err = 0.986778
k = 5; err = 0.985920
k = 6; err = 0.985627
k = 7; err = 0.985675
k = 8; err = 0.985867
k = 9; err = 0.985923
k = 10; err = 0.986127
k = 11; err = 0.985957
k = 12; err = 0.986026
k = 13; err = 0.986054
k = 14; err = 0.986166
k = 15; err = 0.986334
k = 16; err = 0.986528
k = 17; err = 0.986699
k = 18; err = 0.986688
k = 19; err = 0.986942
k = 20; err = 0.987200
bias w/ l=0.1, d=1e2, SVD k = 7; err = 0.984563; -
IterSVD: f = 5, rmse = 0.981973
rSVD, K = 1, gamma = 0.010000, lambda = 0.020000, rmse = 0.988022
rSVD, K = 2, gamma = 0.010000, lambda = 0.020000, rmse = 0.985529
rSVD, K = 3, gamma = 0.010000, lambda = 0.020000, rmse = 0.983707
rSVD, K = 4, gamma = 0.010000, lambda = 0.020000, rmse = 0.982219
rSVD, K = 5, gamma = 0.010000, lambda = 0.020000, rmse = 0.980890
rSVD, K = 6, gamma = 0.010000, lambda = 0.020000, rmse = 0.977883
rSVD, K = 7, gamma = 0.010000, lambda = 0.020000, rmse = 0.976910
rSVD, K = 8, gamma = 0.010000, lambda = 0.020000, rmse = 0.976297

