K,Lambda,Gamma,Shrink,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
64,0.001000,0.100000,0.950000,0.978262,0.002579,162.625712,2.578286
64,0.001000,0.100000,0.975000,0.973263,0.002634,161.722930,2.836137
64,0.001000,0.100000,1.000000,0.966075,0.002549,162.243043,2.853257
64,0.002000,0.001000,0.750000,0.978861,0.002723,101.253536,2.000095
64,0.002000,0.001000,0.775000,0.977016,0.002690,110.499293,1.760197
64,0.002000,0.001000,0.800000,0.974900,0.002651,123.862720,1.732300
64,0.002000,0.001000,0.825000,0.972357,0.002538,139.564752,3.185788
64,0.002000,0.001000,0.850000,0.969315,0.002525,159.829291,3.156452
64,0.002000,0.001000,0.875000,0.965192,0.002420,159.339320,2.352558
64,0.002000,0.001000,0.900000,0.959903,0.002352,159.414991,3.568005
64,0.002000,0.001000,0.925000,0.953754,0.002192,159.334900,3.376183
64,0.002000,0.001000,0.950000,0.951303,0.002151,117.399621,5.231817
64,0.002000,0.001000,0.975000,0.951877,0.002244,71.189944,2.619899
64,0.002000,0.001000,1.000000,0.952131,0.002109,57.808996,2.074364
64,0.002000,0.002000,0.750000,0.979035,0.002798,97.799822,4.021226
64,0.002000,0.002000,0.775000,0.977161,0.002670,108.034840,3.241424
64,0.002000,0.002000,0.800000,0.975018,0.002672,120.404051,3.815003
64,0.002000,0.002000,0.825000,0.972497,0.002546,137.697436,3.233760
64,0.002000,0.002000,0.850000,0.969373,0.002521,156.552359,4.190784
64,0.002000,0.002000,0.875000,0.965373,0.002433,156.494295,3.409131
64,0.002000,0.002000,0.900000,0.960063,0.002382,155.307743,2.006341
64,0.002000,0.002000,0.925000,0.953792,0.002149,155.230037,2.583006
64,0.002000,0.002000,0.950000,0.950924,0.002004,123.320145,4.564978
64,0.002000,0.002000,0.975000,0.951443,0.002138,71.913082,1.126129
64,0.002000,0.002000,1.000000,0.951583,0.002310,56.610693,0.887504
64,0.002000,0.005000,0.750000,0.979358,0.002655,96.038101,1.566977
64,0.002000,0.005000,0.775000,0.977531,0.002738,106.878404,2.341189
64,0.002000,0.005000,0.800000,0.975381,0.002659,118.913341,2.106924
64,0.002000,0.005000,0.825000,0.973021,0.002576,135.078021,3.121357
64,0.002000,0.005000,0.850000,0.969867,0.002562,155.322214,2.363624
64,0.002000,0.005000,0.875000,0.965918,0.002504,155.366129,2.601472
64,0.002000,0.005000,0.900000,0.960843,0.002352,154.978154,2.307279
64,0.002000,0.005000,0.925000,0.954415,0.002247,154.593580,2.961347
64,0.002000,0.005000,0.950000,0.949593,0.002209,154.474637,2.568442
64,0.002000,0.005000,0.975000,0.950095,0.002194,81.882694,2.071889
64,0.002000,0.005000,1.000000,0.950534,0.002110,62.274394,1.007759
64,0.002000,0.010000,0.750000,0.979859,0.002651,93.968559,1.821905
64,0.002000,0.010000,0.775000,0.978096,0.002765,105.157856,2.056032
64,0.002000,0.010000,0.800000,0.975977,0.002667,117.774047,1.767028
64,0.002000,0.010000,0.825000,0.973632,0.002584,133.515001,2.647053
64,0.002000,0.010000,0.850000,0.970756,0.002620,154.368985,2.782772
64,0.002000,0.010000,0.875000,0.967076,0.002508,154.293374,2.714145
64,0.002000,0.010000,0.900000,0.961982,0.002308,154.588715,3.697652
64,0.002000,0.010000,0.925000,0.955628,0.002305,154.318379,2.850573
64,0.002000,0.010000,0.950000,0.948893,0.002195,154.702485,2.577388
