K,Lambda,Gamma,Shrink,Epoch,Mean_RMSE,Std_RMSE
64,0.001000,0.001000,0.950000,20,0.973200,0.002512
64,0.001000,0.001000,0.950000,25,0.971065,0.002427
64,0.001000,0.001000,0.950000,30,0.969394,0.002375
64,0.001000,0.001000,0.950000,35,0.968082,0.002346
64,0.001000,0.001000,0.950000,40,0.967069,0.002328
64,0.001000,0.001000,0.950000,45,0.966292,0.002317
64,0.001000,0.001000,0.950000,50,0.965698,0.002309
64,0.001000,0.001000,0.950000,55,0.965242,0.002303
64,0.001000,0.001000,0.950000,60,0.964893,0.002299
64,0.001000,0.001000,0.950000,65,0.964624,0.002297
64,0.001000,0.001000,0.950000,70,0.964418,0.002295
64,0.001000,0.001000,0.950000,75,0.964260,0.002294
64,0.001000,0.001000,0.950000,80,0.964139,0.002293
64,0.001000,0.001000,0.950000,85,0.964046,0.002292
64,0.001000,0.001000,0.950000,90,0.963975,0.002292
64,0.001000,0.001000,0.950000,95,0.963921,0.002292
64,0.001000,0.001000,0.950000,100,0.963879,0.002292
64,0.001000,0.001000,0.975000,5,0.988153,0.002464
64,0.001000,0.001000,0.975000,10,0.979442,0.002573
64,0.001000,0.001000,0.975000,15,0.973530,0.002549
64,0.001000,0.001000,0.975000,20,0.969259,0.002439
64,0.001000,0.001000,0.975000,25,0.965473,0.002330
64,0.001000,0.001000,0.975000,30,0.962360,0.002259
64,0.001000,0.001000,0.975000,35,0.959806,0.002227
64,0.001000,0.001000,0.975000,40,0.957720,0.002213
64,0.001000,0.001000,0.975000,45,0.956040,0.002206
64,0.001000,0.001000,0.975000,50,0.954696,0.002200
64,0.001000,0.001000,0.975000,55,0.953621,0.002193
64,0.001000,0.001000,0.975000,60,0.952760,0.002186
64,0.001000,0.001000,0.975000,65,0.952067,0.002178
64,0.001000,0.001000,0.975000,70,0.951508,0.002170
64,0.001000,0.001000,0.975000,75,0.951057,0.002161
64,0.001000,0.001000,0.975000,80,0.950691,0.002152
64,0.001000,0.001000,0.975000,85,0.950394,0.002143
64,0.001000,0.001000,0.975000,90,0.950152,0.002135
64,0.001000,0.001000,0.975000,95,0.949955,0.002127
64,0.001000,0.001000,0.975000,100,0.949794,0.002119
64,0.001000,0.001000,1.000000,5,0.987660,0.002458
64,0.001000,0.001000,1.000000,10,0.977635,0.002536
64,0.001000,0.001000,1.000000,15,0.970583,0.002435
64,0.001000,0.001000,1.000000,20,0.964166,0.002278
64,0.001000,0.001000,1.000000,25,0.958556,0.002185
64,0.001000,0.001000,1.000000,30,0.954076,0.002133
64,0.001000,0.001000,1.000000,35,0.951014,0.002079
64,0.001000,0.001000,1.000000,40,0.949446,0.002026
64,0.001000,0.001000,1.000000,42,0.948565,0.000000
64,0.001000,0.001000,1.000000,43,0.949364,0.002229
64,0.001000,0.001000,1.000000,44,0.949444,0.000000
64,0.001000,0.002000,0.750000,5,0.992291,0.002518
64,0.001000,0.002000,0.750000,10,0.990694,0.002526
64,0.001000,0.002000,0.750000,15,0.990231,0.002525
64,0.001000,0.002000,0.750000,20,0.990120,0.002525
64,0.001000,0.002000,0.750000,25,0.990094,0.002525
64,0.001000,0.002000,0.750000,28,0.987061,0.000000
64,0.001000,0.002000,0.750000,29,0.990425,0.002439
64,0.001000,0.002000,0.775000,5,0.992028,0.002521
64,0.001000,0.002000,0.775000,10,0.989860,0.002473
64,0.001000,0.002000,0.775000,15,0.989183,0.002442
64,0.001000,0.002000,0.775000,20,0.988995,0.002434
64,0.001000,0.002000,0.775000,25,0.988942,0.002432
64,0.001000,0.002000,0.775000,30,0.988928,0.002431
64,0.001000,0.002000,0.775000,32,0.988116,0.002368
64,0.001000,0.002000,0.775000,33,0.989736,0.002213
64,0.001000,0.002000,0.800000,5,0.991737,0.002404
64,0.001000,0.002000,0.800000,10,0.988868,0.002399
64,0.001000,0.002000,0.800000,15,0.987899,0.002412
64,0.001000,0.002000,0.800000,20,0.987587,0.002416
64,0.001000,0.002000,0.800000,25,0.987485,0.002417
64,0.001000,0.002000,0.800000,30,0.987452,0.002417
64,0.001000,0.002000,0.800000,35,0.987441,0.002417
64,0.001000,0.002000,0.800000,36,0.990995,0.000000
64,0.001000,0.002000,0.800000,37,0.987045,0.002221
64,0.001000,0.002000,0.825000,5,0.991352,0.002377
64,0.001000,0.002000,0.825000,10,0.987769,0.002352
64,0.001000,0.002000,0.825000,15,0.986434,0.002363
64,0.001000,0.002000,0.825000,20,0.985943,0.002370
64,0.001000,0.002000,0.825000,25,0.985761,0.002373
64,0.001000,0.002000,0.825000,30,0.985692,0.002374
64,0.001000,0.002000,0.825000,35,0.985665,0.002374
64,0.001000,0.002000,0.825000,40,0.985656,0.002374
64,0.001000,0.002000,0.825000,41,0.989430,0.000000
64,0.001000,0.002000,0.825000,42,0.985235,0.002122
64,0.001000,0.002000,0.850000,5,0.990932,0.002493
64,0.001000,0.002000,0.850000,10,0.986565,0.002492
64,0.001000,0.002000,0.850000,15,0.984851,0.002502
64,0.001000,0.002000,0.850000,20,0.984162,0.002505
64,0.001000,0.002000,0.850000,25,0.983869,0.002506
64,0.001000,0.002000,0.850000,30,0.983741,0.002507
64,0.001000,0.002000,0.850000,35,0.983684,0.002507
64,0.001000,0.002000,0.850000,40,0.983659,0.002507
64,0.001000,0.002000,0.850000,45,0.983648,0.002507
64,0.001000,0.002000,0.850000,48,0.983762,0.002617
64,0.001000,0.002000,0.850000,49,0.982597,0.000000
64,0.001000,0.002000,0.875000,5,0.990422,0.002432
64,0.001000,0.002000,0.875000,10,0.985405,0.002379
64,0.001000,0.002000,0.875000,15,0.983266,0.002416
64,0.001000,0.002000,0.875000,20,0.982245,0.002431
64,0.001000,0.002000,0.875000,25,0.981730,0.002440
64,0.001000,0.002000,0.875000,30,0.981469,0.002445
64,0.001000,0.002000,0.875000,35,0.981336,0.002448
64,0.001000,0.002000,0.875000,40,0.981268,0.002449
64,0.001000,0.002000,0.875000,45,0.981233,0.002450
64,0.001000,0.002000,0.875000,50,0.981215,0.002450
64,0.001000,0.002000,0.875000,55,0.981206,0.002450
64,0.001000,0.002000,0.875000,58,0.981204,0.002450
64,0.001000,0.002000,0.900000,5,0.989913,0.002476
64,0.001000,0.002000,0.900000,10,0.984008,0.002504
64,0.001000,0.002000,0.900000,15,0.981244,0.002538
64,0.001000,0.002000,0.900000,20,0.979697,0.002546
64,0.001000,0.002000,0.900000,25,0.978808,0.002548
64,0.001000,0.002000,0.900000,30,0.978292,0.002550
64,0.001000,0.002000,0.900000,35,0.977991,0.002551
64,0.001000,0.002000,0.900000,40,0.977815,0.002551
64,0.001000,0.002000,0.900000,45,0.977712,0.002551
64,0.001000,0.002000,0.900000,50,0.977652,0.002551
64,0.001000,0.002000,0.900000,55,0.977616,0.002551
64,0.001000,0.002000,0.900000,60,0.977595,0.002551
64,0.001000,0.002000,0.900000,65,0.977583,0.002551
64,0.001000,0.002000,0.900000,70,0.977575,0.002551
64,0.001000,0.002000,0.900000,71,0.975235,0.000000
64,0.001000,0.002000,0.900000,72,0.978037,0.002647
64,0.001000,0.002000,0.900000,73,0.976214,0.000000
64,0.001000,0.002000,0.925000,5,0.989327,0.002501
64,0.001000,0.002000,0.925000,10,0.982689,0.002477
64,0.001000,0.002000,0.925000,15,0.978996,0.002592
64,0.001000,0.002000,0.925000,20,0.976683,0.002624
64,0.001000,0.002000,0.925000,25,0.975257,0.002606
64,0.001000,0.002000,0.925000,30,0.974364,0.002583
64,0.001000,0.002000,0.925000,35,0.973789,0.002563
64,0.001000,0.002000,0.925000,40,0.973412,0.002549
64,0.001000,0.002000,0.925000,45,0.973161,0.002539
64,0.001000,0.002000,0.925000,50,0.972994,0.002533
64,0.001000,0.002000,0.925000,55,0.972882,0.002528
64,0.001000,0.002000,0.925000,60,0.972806,0.002525
64,0.001000,0.002000,0.925000,65,0.972756,0.002523
64,0.001000,0.002000,0.925000,70,0.972722,0.002522
64,0.001000,0.002000,0.925000,75,0.972698,0.002521
64,0.001000,0.002000,0.925000,80,0.972683,0.002520
64,0.001000,0.002000,0.925000,85,0.972673,0.002520
64,0.001000,0.002000,0.925000,90,0.972665,0.002519
64,0.001000,0.002000,0.925000,92,0.970412,0.000104
64,0.001000,0.002000,0.925000,93,0.972550,0.002049
64,0.001000,0.002000,0.925000,94,0.976325,0.000397
