K,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
1,0.982204,0.002871,38.033442,3.284680
2,0.974822,0.002684,42.271112,3.915263
4,0.965034,0.002507,44.819778,3.789249
8,0.955704,0.002354,49.592127,3.904193
16,0.948120,0.002448,60.406265,4.538766
32,0.945452,0.002381,79.844671,5.701606
64,0.944741,0.002366,120.878567,5.752450
128,0.944460,0.002365,234.798362,12.853743
256,0.944302,0.002324,534.703038,47.377214
