K,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
1,0.986163,0.002780,36.092766,0.987926
2,0.976075,0.002834,38.412737,0.799598
4,0.966642,0.002639,40.437430,0.995046
8,0.956841,0.002406,44.345036,1.012616
16,0.949298,0.002226,53.971275,1.189709
32,0.946899,0.002118,70.106934,1.078789
64,0.945655,0.002066,104.015553,2.626499
128,0.944983,0.002066,178.778096,5.054844
256,0.944832,0.002034,336.822639,15.753285
