K,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
1,0.983249,0.002927,2.173221,0.072634
2,0.977130,0.002865,2.367660,0.054917
4,0.969815,0.002704,2.703177,0.055818
8,0.964074,0.002576,3.503253,0.071629
16,0.961624,0.002697,5.194545,0.150174
32,0.960310,0.002701,10.352030,0.411499
64,0.959942,0.002656,20.407320,1.740670
128,0.960684,0.002718,47.469641,2.793201
256,0.962158,0.002631,99.247413,5.499029
