K,Lambda,Gamma,Shrink,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
64,0.001000,0.100000,0.950000,0.953049,0.002461,194.887244,7.373151
64,0.001000,0.100000,0.975000,0.948953,0.002432,180.200814,7.232966
64,0.001000,0.100000,1.000000,0.946150,0.002448,184.638031,6.014574
64,0.002000,0.001000,0.750000,0.957022,0.002480,79.766093,8.467258
64,0.002000,0.001000,0.775000,0.957004,0.002560,39.831271,2.758311
64,0.002000,0.001000,0.800000,0.956981,0.002500,32.284428,1.895742
64,0.002000,0.001000,0.825000,0.957190,0.002283,27.732331,2.504184
64,0.002000,0.001000,0.850000,0.957079,0.002424,25.863771,1.053713
64,0.002000,0.001000,0.875000,0.957434,0.002523,23.751994,2.152129
64,0.002000,0.001000,0.900000,0.957224,0.002251,22.728900,0.812517
64,0.002000,0.001000,0.925000,0.957476,0.002492,22.893623,0.735555
64,0.002000,0.001000,0.950000,0.957666,0.002429,20.999620,2.699028
64,0.002000,0.001000,0.975000,0.957720,0.002510,19.276828,0.916147
64,0.002000,0.001000,1.000000,0.957613,0.002375,18.975269,0.635633
64,0.002000,0.002000,0.750000,0.956925,0.002600,92.480451,3.776750
64,0.002000,0.002000,0.775000,0.956897,0.002438,43.842704,3.231622
64,0.002000,0.002000,0.800000,0.956977,0.002394,31.833695,1.715241
64,0.002000,0.002000,0.825000,0.957004,0.002531,28.217664,1.420714
64,0.002000,0.002000,0.850000,0.957020,0.002329,26.792178,2.668723
64,0.002000,0.002000,0.875000,0.957056,0.002634,23.413424,2.400440
64,0.002000,0.002000,0.900000,0.957167,0.002609,21.522271,1.097505
64,0.002000,0.002000,0.925000,0.957186,0.002510,21.539887,1.213945
64,0.002000,0.002000,0.950000,0.957509,0.002398,20.727907,1.756190
64,0.002000,0.002000,0.975000,0.957436,0.002453,17.838901,1.059925
64,0.002000,0.002000,1.000000,0.957479,0.002521,17.834748,1.062888
64,0.002000,0.005000,0.750000,0.956480,0.002367,94.425400,6.936849
64,0.002000,0.005000,0.775000,0.956047,0.002353,57.045470,8.470718
64,0.002000,0.005000,0.800000,0.956225,0.002436,36.218877,2.964926
64,0.002000,0.005000,0.825000,0.956190,0.002632,30.450423,3.002891
64,0.002000,0.005000,0.850000,0.956346,0.002487,26.705544,2.209075
64,0.002000,0.005000,0.875000,0.956439,0.002372,25.222867,1.356230
64,0.002000,0.005000,0.900000,0.956456,0.002407,23.483384,2.526979
64,0.002000,0.005000,0.925000,0.956526,0.002579,21.770761,1.061867
64,0.002000,0.005000,0.950000,0.956752,0.002396,21.591331,1.146735
64,0.002000,0.005000,0.975000,0.956975,0.002393,20.637054,2.201445
