K,Lambda,Gamma,Shrink,Epoch,Mean_RMSE,Std_RMSE
64,0.001000,0.001000,1.000000,25,0.955001,0.002030
64,0.001000,0.001000,1.000000,30,0.952188,0.001898
64,0.001000,0.001000,1.000000,34,0.951464,0.001746
64,0.001000,0.001000,1.000000,35,0.954054,0.000000
64,0.001000,0.002000,0.750000,5,0.991636,0.002467
64,0.001000,0.002000,0.750000,10,0.989545,0.002455
64,0.001000,0.002000,0.750000,15,0.988982,0.002454
64,0.001000,0.002000,0.750000,20,0.988849,0.002455
64,0.001000,0.002000,0.750000,25,0.988818,0.002455
64,0.001000,0.002000,0.750000,29,0.989296,0.003313
64,0.001000,0.002000,0.750000,30,0.988488,0.001570
64,0.001000,0.002000,0.775000,5,0.991290,0.002546
64,0.001000,0.002000,0.775000,10,0.988484,0.002549
64,0.001000,0.002000,0.775000,15,0.987674,0.002542
64,0.001000,0.002000,0.775000,20,0.987454,0.002540
64,0.001000,0.002000,0.775000,25,0.987393,0.002539
64,0.001000,0.002000,0.775000,30,0.987377,0.002539
64,0.001000,0.002000,0.775000,33,0.987374,0.002539
64,0.001000,0.002000,0.800000,5,0.990829,0.002439
64,0.001000,0.002000,0.800000,10,0.987337,0.002442
64,0.001000,0.002000,0.800000,15,0.986280,0.002451
64,0.001000,0.002000,0.800000,20,0.985954,0.002453
64,0.001000,0.002000,0.800000,25,0.985850,0.002454
64,0.001000,0.002000,0.800000,30,0.985816,0.002454
64,0.001000,0.002000,0.800000,35,0.985805,0.002454
64,0.001000,0.002000,0.800000,36,0.989376,0.000000
64,0.001000,0.002000,0.800000,37,0.985407,0.002262
64,0.001000,0.002000,0.825000,5,0.990246,0.002498
64,0.001000,0.002000,0.825000,10,0.986154,0.002462
64,0.001000,0.002000,0.825000,15,0.984811,0.002467
64,0.001000,0.002000,0.825000,20,0.984333,0.002470
64,0.001000,0.002000,0.825000,25,0.984155,0.002471
64,0.001000,0.002000,0.825000,30,0.984088,0.002471
64,0.001000,0.002000,0.825000,35,0.984062,0.002472
64,0.001000,0.002000,0.825000,40,0.984052,0.002472
64,0.001000,0.002000,0.825000,41,0.987816,0.000000
64,0.001000,0.002000,0.825000,42,0.983633,0.002245
64,0.001000,0.002000,0.850000,5,0.989796,0.002392
64,0.001000,0.002000,0.850000,10,0.985026,0.002424
64,0.001000,0.002000,0.850000,15,0.983325,0.002437
64,0.001000,0.002000,0.850000,20,0.982599,0.002441
64,0.001000,0.002000,0.850000,25,0.982278,0.002442
64,0.001000,0.002000,0.850000,30,0.982137,0.002443
64,0.001000,0.002000,0.850000,35,0.982074,0.002444
64,0.001000,0.002000,0.850000,40,0.982046,0.002444
64,0.001000,0.002000,0.850000,45,0.982034,0.002444
64,0.001000,0.002000,0.850000,49,0.982030,0.002444
64,0.001000,0.002000,0.875000,5,0.989183,0.002547
64,0.001000,0.002000,0.875000,10,0.983703,0.002538
64,0.001000,0.002000,0.875000,15,0.981378,0.002505
64,0.001000,0.002000,0.875000,20,0.980173,0.002504
64,0.001000,0.002000,0.875000,25,0.979557,0.002507
64,0.001000,0.002000,0.875000,30,0.979245,0.002510
64,0.001000,0.002000,0.875000,35,0.979087,0.002511
64,0.001000,0.002000,0.875000,40,0.979006,0.002512
64,0.001000,0.002000,0.875000,45,0.978965,0.002513
64,0.001000,0.002000,0.875000,50,0.978943,0.002513
64,0.001000,0.002000,0.900000,5,0.988538,0.002542
64,0.001000,0.002000,0.900000,10,0.982281,0.002605
64,0.001000,0.002000,0.900000,15,0.979073,0.002630
64,0.001000,0.002000,0.900000,20,0.977261,0.002626
64,0.001000,0.002000,0.900000,25,0.976248,0.002621
64,0.001000,0.002000,0.900000,30,0.975670,0.002617
64,0.001000,0.002000,0.900000,35,0.975338,0.002614
64,0.001000,0.002000,0.900000,40,0.975145,0.002612
64,0.001000,0.002000,0.900000,45,0.975032,0.002611
64,0.001000,0.002000,0.900000,50,0.974966,0.002611
64,0.001000,0.002000,0.925000,5,0.987965,0.002555
64,0.001000,0.002000,0.925000,10,0.980784,0.002615
64,0.001000,0.002000,0.925000,15,0.976505,0.002656
64,0.001000,0.002000,0.925000,20,0.973972,0.002633
64,0.001000,0.002000,0.925000,25,0.972396,0.002589
64,0.001000,0.002000,0.925000,30,0.971367,0.002551
64,0.001000,0.002000,0.925000,35,0.970680,0.002526
64,0.001000,0.002000,0.925000,40,0.970219,0.002509
64,0.001000,0.002000,0.925000,45,0.969910,0.002497
64,0.001000,0.002000,0.925000,50,0.969702,0.002490
64,0.001000,0.002000,0.950000,5,0.987203,0.002435
64,0.001000,0.002000,0.950000,10,0.979120,0.002551
64,0.001000,0.002000,0.950000,15,0.973728,0.002514
64,0.001000,0.002000,0.950000,20,0.970162,0.002422
64,0.001000,0.002000,0.950000,25,0.967586,0.002344
64,0.001000,0.002000,0.950000,30,0.965689,0.002296
64,0.001000,0.002000,0.950000,35,0.964281,0.002265
64,0.001000,0.002000,0.950000,40,0.963225,0.002245
64,0.001000,0.002000,0.950000,45,0.962427,0.002231
64,0.001000,0.002000,0.950000,50,0.961820,0.002220
64,0.001000,0.002000,0.975000,5,0.986702,0.002459
64,0.001000,0.002000,0.975000,10,0.977246,0.002568
64,0.001000,0.002000,0.975000,15,0.970709,0.002490
64,0.001000,0.002000,0.975000,20,0.965676,0.002349
64,0.001000,0.002000,0.975000,25,0.961697,0.002243
64,0.001000,0.002000,0.975000,30,0.958547,0.002177
64,0.001000,0.002000,0.975000,35,0.956125,0.002139
64,0.001000,0.002000,0.975000,40,0.954329,0.002119
64,0.001000,0.002000,0.975000,45,0.953032,0.002108
64,0.001000,0.002000,0.975000,50,0.952115,0.002104
64,0.001000,0.002000,1.000000,5,0.985923,0.002453
64,0.001000,0.002000,1.000000,10,0.975129,0.002462
64,0.001000,0.002000,1.000000,15,0.967024,0.002190
64,0.001000,0.002000,1.000000,20,0.960259,0.002059
64,0.001000,0.002000,1.000000,25,0.955053,0.002038
64,0.001000,0.002000,1.000000,30,0.952013,0.002030
64,0.001000,0.002000,1.000000,34,0.950054,0.000000
64,0.001000,0.002000,1.000000,35,0.951376,0.002095
64,0.001000,0.002000,1.000000,36,0.950367,0.001242
64,0.001000,0.005000,0.750000,5,0.991629,0.002448
64,0.001000,0.005000,0.750000,10,0.989572,0.002470
64,0.001000,0.005000,0.750000,15,0.989023,0.002483
64,0.001000,0.005000,0.750000,20,0.988892,0.002486
64,0.001000,0.005000,0.750000,25,0.988862,0.002487
64,0.001000,0.005000,0.750000,29,0.989227,0.003118
64,0.001000,0.005000,0.750000,30,0.988608,0.001917
64,0.001000,0.005000,0.775000,5,0.991305,0.002545
64,0.001000,0.005000,0.775000,10,0.988582,0.002513
64,0.001000,0.005000,0.775000,15,0.987796,0.002499
64,0.001000,0.005000,0.775000,20,0.987582,0.002496
64,0.001000,0.005000,0.775000,25,0.987522,0.002496
64,0.001000,0.005000,0.775000,30,0.987506,0.002495
64,0.001000,0.005000,0.775000,33,0.987503,0.002495
64,0.001000,0.005000,0.800000,5,0.990920,0.002398
64,0.001000,0.005000,0.800000,10,0.987525,0.002357
64,0.001000,0.005000,0.800000,15,0.986481,0.002366
64,0.001000,0.005000,0.800000,20,0.986157,0.002372
64,0.001000,0.005000,0.800000,25,0.986053,0.002373
64,0.001000,0.005000,0.800000,30,0.986019,0.002374
64,0.001000,0.005000,0.800000,35,0.986008,0.002375
64,0.001000,0.005000,0.800000,36,0.989474,0.000000
64,0.001000,0.005000,0.800000,37,0.985622,0.002187
64,0.001000,0.005000,0.825000,5,0.990364,0.002363
64,0.001000,0.005000,0.825000,10,0.986248,0.002409
64,0.001000,0.005000,0.825000,15,0.984928,0.002431
64,0.001000,0.005000,0.825000,20,0.984461,0.002438
64,0.001000,0.005000,0.825000,25,0.984288,0.002441
64,0.001000,0.005000,0.825000,30,0.984223,0.002442
64,0.001000,0.005000,0.825000,35,0.984198,0.002442
64,0.001000,0.005000,0.825000,40,0.984188,0.002442
64,0.001000,0.005000,0.825000,41,0.985933,0.002805
64,0.001000,0.005000,0.825000,42,0.983440,0.001812
64,0.001000,0.005000,0.850000,5,0.989866,0.002451
64,0.001000,0.005000,0.850000,10,0.985045,0.002368
64,0.001000,0.005000,0.850000,15,0.983322,0.002382
64,0.001000,0.005000,0.850000,20,0.982590,0.002388
64,0.001000,0.005000,0.850000,25,0.982269,0.002391
64,0.001000,0.005000,0.850000,30,0.982127,0.002392
64,0.001000,0.005000,0.850000,35,0.982065,0.002393
64,0.001000,0.005000,0.850000,40,0.982037,0.002393
64,0.001000,0.005000,0.850000,45,0.982025,0.002393
64,0.001000,0.005000,0.850000,49,0.982021,0.002393
64,0.001000,0.005000,0.875000,5,0.989423,0.002555
64,0.001000,0.005000,0.875000,10,0.983931,0.002460
64,0.001000,0.005000,0.875000,15,0.981649,0.002449
64,0.001000,0.005000,0.875000,20,0.980490,0.002462
64,0.001000,0.005000,0.875000,25,0.979900,0.002472
64,0.001000,0.005000,0.875000,30,0.979601,0.002477
64,0.001000,0.005000,0.875000,35,0.979449,0.002480
64,0.001000,0.005000,0.875000,40,0.979371,0.002482
64,0.001000,0.005000,0.875000,45,0.979332,0.002483
64,0.001000,0.005000,0.875000,50,0.979311,0.002483
64,0.001000,0.005000,0.900000,5,0.988733,0.002634
64,0.001000,0.005000,0.900000,10,0.982632,0.002529
64,0.001000,0.005000,0.900000,15,0.979518,0.002516
64,0.001000,0.005000,0.900000,20,0.977730,0.002515
64,0.001000,0.005000,0.900000,25,0.976725,0.002516
64,0.001000,0.005000,0.900000,30,0.976152,0.002516
64,0.001000,0.005000,0.900000,35,0.975822,0.002516
64,0.001000,0.005000,0.900000,40,0.975631,0.002516
64,0.001000,0.005000,0.900000,45,0.975519,0.002516
64,0.001000,0.005000,0.900000,50,0.975453,0.002516
64,0.001000,0.005000,0.925000,5,0.987986,0.002506
64,0.001000,0.005000,0.925000,10,0.980927,0.002616
64,0.001000,0.005000,0.925000,15,0.976822,0.002610
64,0.001000,0.005000,0.925000,20,0.974353,0.002601
64,0.001000,0.005000,0.925000,25,0.972804,0.002584
64,0.001000,0.005000,0.925000,30,0.971793,0.002566
64,0.001000,0.005000,0.925000,35,0.971121,0.002553
64,0.001000,0.005000,0.925000,40,0.970671,0.002544
64,0.001000,0.005000,0.925000,45,0.970369,0.002537
64,0.001000,0.005000,0.925000,50,0.970166,0.002533
64,0.001000,0.005000,0.950000,5,0.987392,0.002292
64,0.001000,0.005000,0.950000,10,0.979357,0.002396
64,0.001000,0.005000,0.950000,15,0.974098,0.002412
64,0.001000,0.005000,0.950000,20,0.970673,0.002361
64,0.001000,0.005000,0.950000,25,0.968163,0.002300
64,0.001000,0.005000,0.950000,30,0.966286,0.002254
64,0.001000,0.005000,0.950000,35,0.964885,0.002221
64,0.001000,0.005000,0.950000,40,0.963835,0.002198
